#{"t_start": 1763843689.5770948, "env_id": "None"}
r,l,t,win
-177.21,151,6880.086943,0
45.72,108,6880.908509,0
-31.67,80,6881.501765,0
58.02,69,6882.022649,0
63.3,86,6882.651394,0
61.87,55,6883.084496,0
-172.59,132,6884.045413,0
24.77,149,6885.209043,0
-284.96,121,6886.145345,0
-726.99,294,6888.326767,0
23.95,86,6889.04284,0
51.55,36,6889.39496,0
-33.04,89,6890.162094,0
-255.44,200,6891.748412,0
-31.72,63,6892.271524,0
-34.68,64,6892.808178,0
57.52,59,6893.272025,0
-116.75,107,6894.162513,0
-30.37,99,6895.006076,0
-38.01,100,6896.021409,0
-2.8,99,6896.836547,0
-40.84,41,6897.167875,0
-30.03,128,6898.151029,0
-58.58,50,6898.512365,0
-1.3,95,6899.282601,0
-101.59,60,6899.776431,0
-31.2,68,6900.329812,0
-408.29,243,6902.194817,0
-44.09,148,6903.300109,0
-434.03,205,6904.85356,0
-118.51,82,6905.487251,0
35.36,84,6906.136857,0
-42.46,83,6906.749408,0
-62.79,64,6907.233757,0
-111.83,168,6908.556965,0
52.24,54,6908.979463,0
61.44,93,6909.700166,0
-559.84,218,6911.409426,0
-104.98,121,6912.338434,0
-76.2,94,6913.075983,0
-38.74,50,6913.522192,0
32.09,55,6913.966978,0
211.21,101,6914.732159,1
-26.81,111,6915.610929,0
60.0,60,6916.071948,0
-316.85,102,6916.90366,0
62.69,68,6917.427921,0
-38.13,42,6917.766401,0
-31.14,76,6918.339303,0
58.28,55,6918.735547,0
-31.72,94,6919.488186,0
-121.41,129,6920.458674,0
111.75,21,6920.614202,1
-105.93,91,6921.315649,0
-114.09,156,6922.541897,0
-101.52,101,6923.327117,0
11.29,83,6923.995429,0
-280.41,158,6925.243046,0
-33.41,79,6925.859928,0
-7.43,67,6926.396863,0
-289.69,130,6927.433043,0
-31.05,116,6928.344697,0
6.24,82,6928.978422,0
-146.24,101,6929.764355,0
4.54,71,6930.329058,0
71.62,138,6931.440812,0
41.04,51,6931.828886,0
-10.48,67,6932.399322,0
-9.2,74,6933.030691,0
-263.42,137,6934.135819,0
-38.39,39,6934.448929,0
-44.61,87,6935.131835,0
77.3,160,6936.397981,0
52.71,48,6936.7666,0
-75.93,66,6937.297809,0
-558.12,192,6938.883367,0
61.62,51,6939.337504,0
-30.0,85,6940.040761,0
-39.44,53,6940.45822,0
-157.48,126,6941.474715,0
19.43,80,6942.111566,0
-35.01,66,6942.618145,0
0.8,171,6944.017291,0
53.17,43,6944.353791,0
-25.62,155,6945.556637,0
-35.7,62,6946.069138,0
-126.67,79,6946.709724,0
-166.24,118,6947.634414,0
-89.84,156,6948.92881,0
-24.3,128,6949.981143,0
-190.21,120,6950.956728,0
73.0,117,6951.878877,0
-30.38,69,6952.466278,0
-74.38,89,6953.186557,0
-39.12,44,6953.541819,0
-34.12,71,6954.156859,0
-163.7,142,6955.307411,0
-79.05,134,6957.123736,0
-28.91,168,6958.436617,0
59.92,81,6959.131028,0
-114.59,145,6960.438712,0
-28.29,124,6961.629689,0
-295.7,149,6962.996964,0
50.93,27,6963.267873,0
-29.41,93,6964.087401,0
-58.76,93,6964.91868,0
-42.41,122,6965.965368,0
-23.34,116,6966.989881,0
